category_normalized,source_platform,mean_price,median_price,min_price,max_price,std_price,count
laptops,jumia,3894.89,2208.22,184.82,53588.29,6964.3,223
laptops,marjane,9331.81,8339.08,47.65,36896.06,6693.0,60
laptops,micromagma,15231.79,13100.48,1745.72,84609.38,9971.38,212
smartphones,jumia,845.14,145.69,18.47,16710.28,2272.56,229
smartphones,marjane,1977.09,1293.25,140.04,9041.6,2227.57,59
smartphones,micromagma,4735.36,3634.32,326.11,28610.53,3777.28,300
tv,jumia,4040.16,2982.56,49.21,27404.38,3650.11,202
tv,marjane,3007.23,2769.89,39.2,15932.48,2296.97,59
tv,micromagma,4049.71,3407.37,636.24,21904.62,3190.42,89
vetements,jumia,102.62,99.33,29.18,299.95,49.63,239
vetements,zara,504.39,445.87,99.29,1519.41,252.64,195
