category_normalized,source_platform,mean,median,std
laptops,jumia,3760.8071278825996,2183.0,6636.413712444562
laptops,marjane,9348.5,8394.5,6588.019775267985
laptops,micromagma,15240.32075471698,13127.0,9912.967340259218
smartphones,jumia,813.7521149897332,149.0,2179.023863353978
smartphones,marjane,1944.5166666666667,1299.0,2231.019478841848
smartphones,micromagma,4742.543333333333,3619.0,3777.7474391275814
tv,jumia,3935.3837719298244,2934.0,3535.824858871716
tv,marjane,2994.616666666667,2689.0,2260.164341494877
tv,micromagma,4051.303370786517,3499.0,3160.8123395033576
vetements,jumia,102.69570552147239,99.0,49.03028494059284
vetements,zara,523.6333333333333,469.0,285.2778945976051
